	"X8294_w_01.genes.results"	"X8295_w_01.genes.results"	"X8296_w_01.genes.results"	"X8297_nos_01.genes.results"	"X8298_nos_01.genes.results"	"X8299_nos_01.genes.results"	"X8300_w_23.genes.results"	"X8301_w_23.genes.results"	"X8302_w_23.genes.results"	"X8303_nos_23.genes.results"	"X8304_nos_23.genes.results"	"X8305_nos_23.genes.results"
"FBgn0000579"	28872.00	24623.00	19831.00	20613.00	20494.00	23055.00	3717.00	3078.00	2730.00	7848.00	7349.00	4723.00
"FBgn0000581"	11555.00	7229.00	6847.00	7009.00	6291.00	8448.00	5700.00	5203.00	5139.00	6709.00	7579.00	7510.00
"FBgn0000588"	2885.00	2602.00	2132.00	1806.00	2144.00	2253.00	850.00	808.00	954.00	1362.00	1580.00	1151.00
"FBgn0000591"	15.00	14.00	9.00	50.00	68.00	103.00	104.00	146.00	177.00	249.00	345.00	250.00
"FBgn0000592"	1.00	1.00	9.00	3.00	0.00	2.00	3.00	7.00	15.00	1.00	9.00	0.00
"FBgn0000594"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00
"FBgn0000606"	88.00	69.00	66.00	71.00	203.00	218.00	1157.00	1511.00	1766.00	885.00	1240.00	1393.00
"FBgn0000611"	4695.00	4268.00	3853.00	3231.00	3927.00	4457.00	6521.00	7520.00	7947.00	6343.00	8278.00	7540.00
"FBgn0000615"	15957.00	16300.00	12397.00	11647.00	12680.00	13617.00	248.00	198.00	159.00	905.00	1181.00	605.00
"FBgn0000617"	1002.00	894.00	673.00	909.00	1101.00	1150.00	1559.00	1676.00	2060.00	1558.00	2147.00	1873.00
"FBgn0000618"	434.00	473.00	441.00	339.00	471.00	418.00	515.00	623.00	758.00	531.00	744.00	602.00
"FBgn0000625"	6.00	0.00	3.00	13.00	11.00	28.00	2.00	7.00	11.00	71.00	76.00	65.00
"FBgn0000629"	2063.00	2053.00	1302.00	1526.00	1553.00	1869.00	526.00	749.00	947.00	672.00	1081.00	783.00
"FBgn0000633"	12.00	8.00	21.00	24.00	31.00	71.00	43.00	61.00	56.00	129.00	153.00	164.00
