	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0321267"	1330.03	1511.57	1277.52	2496.70	2638.09	2311.63	1701.31	1673.42	1606.61	1564.10	1530.71	1597.35	1286.24	1241.05	1729.33
"FBtr0289986"	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080315"	633.97	613.43	527.48	146.30	148.91	147.37	675.69	819.58	730.39	706.90	573.29	782.65	1199.76	1020.95	1367.67
"FBtr0332183"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0073361"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0074810"	24.99	101.89	55.74	68.32	171.67	99.78	41.15	46.18	69.44	48.48	66.38	90.85	84.17	0.00	97.76
"FBtr0074811"	270.32	346.20	364.33	399.94	336.03	378.31	398.27	384.55	403.65	305.04	264.93	275.77	357.93	351.98	409.62
"FBtr0331746"	16.37	19.04	37.60	25.82	28.31	21.98	37.46	39.26	43.15	25.27	23.70	26.82	19.48	25.02	32.61
"FBtr0331747"	19.32	7.87	8.33	3.92	0.00	4.93	8.11	0.00	3.76	3.20	0.00	15.56	4.43	0.00	0.00
"FBtr0081386"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00
"FBtr0075098"	7029.72	11240.17	11180.83	5861.82	7214.33	4674.90	4150.48	3022.56	4297.39	5292.66	4949.65	6395.20	7230.06	9204.54	13532.04
"FBtr0345806"	147.28	247.83	427.17	97.18	191.67	154.10	94.52	122.44	111.61	78.34	179.35	111.80	96.94	228.46	202.96
"FBtr0088935"	92.22	177.89	130.60	237.01	279.19	230.09	201.12	136.31	162.93	120.58	109.93	144.62	106.58	70.04	164.55
"FBtr0088936"	2.23	0.00	2.00	5.87	1.98	6.17	3.82	0.00	0.00	0.00	0.00	3.98	2.02	0.00	5.63
"FBtr0088937"	1337.78	1695.85	1450.14	2088.07	2346.42	1905.74	2069.17	1794.68	1882.97	1755.59	1370.60	1577.70	1752.98	1318.03	2735.34
"FBtr0306239"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330327"	1337.78	1695.85	1450.14	2088.07	2346.42	1905.74	2069.17	1794.68	1882.97	1755.59	1370.60	1577.70	1752.98	1318.03	2735.34
"FBtr0330328"	0.00	11.41	14.13	8.98	14.99	7.26	15.71	14.33	12.12	4.24	3.87	0.00	13.44	3.90	11.13
"FBtr0307504"	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076103"	1477.67	1587.76	1334.68	2037.90	2153.43	2048.47	274.62	280.76	328.73	1562.30	1520.58	1723.16	1668.48	1793.68	1942.53
"FBtr0076104"	31.84	26.96	37.11	59.73	23.97	35.17	22.64	0.00	0.00	45.27	23.36	76.19	56.20	109.13	47.08
"FBtr0076105"	16.52	47.33	27.74	42.11	18.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.05	23.73	0.00
"FBtr0331544"	60.08	54.29	51.92	71.91	108.37	79.72	7.74	2.47	2.05	60.93	65.08	57.52	60.37	97.72	73.40
"FBtr0331545"	36.88	43.66	20.55	68.34	77.20	48.64	0.00	6.76	5.22	55.50	54.98	47.12	94.90	71.74	50.00
"FBtr0070171"	1.00	0.00	2.00	0.00	1.00	1.00	2.00	4.00	4.00	1.00	2.00	5.00	3.00	1.00	8.00
"FBtr0089426"	1.89	0.00	23.66	11.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.27	1.18	51.97	0.00
"FBtr0081364"	987.99	1039.41	1240.58	1630.30	1754.92	1259.82	1261.08	1071.53	1293.34	976.17	1121.24	1202.35	1293.83	606.49	1668.71
"FBtr0332971"	227.99	183.59	1.72	0.01	2.15	343.13	16.77	6.85	0.02	334.07	174.46	351.86	65.17	384.50	226.29
